generation;average_fitness;max_fitness;NoFilter__FOR__inflow_noizd;DiscrDiff__FOR__inflow_noizd;MedianFilter__FOR__inflow_noizd;EvenNoise__FOR__inflow_noizd;MovingAverage__FOR__inflow_noizd;NoFilter__FOR__outflow;DiscrDiff__FOR__outflow;MedianFilter__FOR__outflow;EvenNoise__FOR__outflow;MovingAverage__FOR__outflow;NoFilter__FOR__trash;DiscrDiff__FOR__trash;MedianFilter__FOR__trash;EvenNoise__FOR__trash;MovingAverage__FOR__trash;inflow_noizd;outflow;trash;
1;0.682019050458;0.733611902632;12;27;26;35;11;12;27;26;35;11;12;27;26;35;11;21;8;3;
2;0.692685847821;0.817189130897;13;29;23;39;8;13;29;23;39;8;13;29;23;39;8;19;15;2;
3;0.680576255242;0.762483407409;14;35;24;43;8;14;35;24;43;8;14;35;24;43;8;13;17;7;
4;0.67403740829;0.759589236789;10;34;18;31;19;10;34;18;31;19;10;34;18;31;19;10;18;8;
5;0.671840095295;0.735280200044;1;24;13;22;14;1;24;13;22;14;1;24;13;22;14;5;15;6;
6;0.669938962914;0.718608584267;2;29;11;18;15;2;29;11;18;15;2;29;11;18;15;6;13;8;
7;0.69242018779;0.85695866593;6;30;16;22;16;6;30;16;22;16;6;30;16;22;16;17;8;11;
8;0.696331018309;0.85545215856;2;28;16;25;12;2;28;16;25;12;2;28;16;25;12;19;12;9;
9;0.716544164605;0.847247808814;4;15;16;29;12;4;15;16;29;12;4;15;16;29;12;12;13;10;
10;0.69900136278;0.822256302225;8;31;20;22;12;8;31;20;22;12;8;31;20;22;12;12;20;11;
